,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,hours,RestaurantsTakeOut,NoiseLevel,Caters,Ambience,RestaurantsReservations,BusinessAcceptsCreditCards,RestaurantsTableService,GoodForKids,RestaurantsPriceRange2,WheelchairAccessible,OutdoorSeating,RestaurantsDelivery,HasTV,RestaurantsAttire,Alcohol,GoodForMeal,DogsAllowed,RestaurantsGoodForGroups,HappyHour,BusinessParking,BikeParking,WiFi,ByAppointmentOnly,Music,CoatCheck,BestNights,BusinessAcceptsBitcoin,Smoking,BYOB,DriveThru,Corkage,BYOBCorkage,GoodForDancing,AgesAllowed,RestaurantsCounterService,Open24Hours,DietaryRestrictions,AcceptsInsurance,category,cuisine
0,IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101,34.4144445,-119.6906718,4.0,389,1,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries","{'Monday': '0:0-0:0', 'Tuesday': '8:0-14:0', 'Wednesday': '8:0-14:0', 'Thursday': '8:0-14:0', 'Friday': '8:0-14:0', 'Saturday': '8:0-14:0', 'Sunday': '8:0-14:0'}",True,u'average',True,"{'touristy': False, 'hipster': True, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}",False,True,False,True,2,True,True,None,False,'casual',u'none',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}",True,True,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,u'no',,,,,,,,,,,,,,,,,Bakery,Other
1,SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,34.4087147,-119.6850187,4.0,2404,1,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-14:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",True,u'average',False,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",False,True,,True,2,,True,True,False,'casual','beer_and_wine',"{u'breakfast': False, u'brunch': None, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': False}",,False,False,"{'garage': False, 'street': False, 'validated': True, 'lot': False, 'valet': False}",True,u'no',False,"{u'dj': False, u'live': False, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': False, u'no_music': False}",False,"{u'monday': False, u'tuesday': False, u'wednesday': False, u'thursday': False, u'friday': False, u'saturday': True, u'sunday': False}",False,,,,,,,,,,,,Seafood,Other
2,4xhGQGdGqU60BIznBjqnuA,California Tacos and Taproom,956 Embarcadero Del Norte,Isla Vista,CA,93117,34.4115552,-119.8550772,4.0,49,0,"Mexican, Beer Bar, Bars, Sports Bars, Nightlife, Restaurants, Tacos","{'Monday': '0:0-0:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-20:30'}",True,,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",False,True,,,,True,True,True,True,,u'beer_and_wine',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,u'free',,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",,u'no',False,,,,,,,,,,Mexican,Mexican
3,ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,2733 De La Vina St,Santa Barbara,CA,93105,34.4362361,-119.7261474,4.0,64,1,"Pizza, Restaurants","{'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-21:30'}",True,'average',,"{'touristy': None, 'hipster': False, 'romantic': None, 'divey': None, 'intimate': False, 'trendy': None, 'upscale': None, 'classy': None, 'casual': True}",False,True,,True,2,,False,True,True,'casual',u'none',"{'dessert': False, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",,True,,"{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,,,,,Pizza,Other
4,VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,"7320 Hollister Ave, Ste 1",Goleta,CA,93117,34.4305419,-119.882367,4.0,189,1,"Burgers, Cafes, Restaurants, Mexican, American (Traditional)","{'Monday': '0:0-0:0', 'Tuesday': '8:0-20:30', 'Wednesday': '8:0-20:30', 'Thursday': '8:0-20:30', 'Friday': '8:0-20:30', 'Saturday': '8:0-20:30', 'Sunday': '8:0-20:30'}",True,u'average',True,"{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}",True,True,True,True,1,True,True,True,True,'casual',u'beer_and_wine',"{u'breakfast': None, u'brunch': False, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': False}",True,True,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'no',,,,,False,,False,False,False,,,,,,,,Mexican,Mexican
5,bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,903 Embarcadero Del Norte,Isla Vista,CA,93117,34.4129345,-119.8555307,3.0,184,1,"Food, Restaurants, Chinese, Bubble Tea, Vietnamese","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",True,u'average',False,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",False,True,,True,1,,True,True,True,u'casual',u'none',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",,True,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,u'no',,,,,,,,,,,,,,,,,Chinese,Chinese
6,xwSWtJcQkzTF6HNm_IMgcg,Rusty's Pizza Parlor,270 Storke Rd,Goleta,CA,93117,34.4290427,-119.8693616,2.5,94,1,"Chicken Wings, Salad, Restaurants, Pizza, Italian, Sandwiches","{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-0:0', 'Saturday': '11:0-0:0', 'Sunday': '11:0-0:0'}",True,u'average',False,"{u'divey': False, u'hipster': False, u'casual': True, u'touristy': None, u'trendy': False, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}",True,True,,True,2,True,False,True,True,'casual',u'beer_and_wine',"{'dessert': False, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",False,True,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'no',,,,,,,,,False,'yes_free',,,,,,,Italian,Italian
7,18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,509 Linden Ave,Carpinteria,CA,93013,34.3965102,-119.5216815,4.5,460,1,"Restaurants, Thai","{'Tuesday': '17:0-21:30', 'Wednesday': '17:0-21:30', 'Thursday': '17:0-21:30', 'Friday': '17:0-21:30', 'Saturday': '12:0-21:30', 'Sunday': '12:0-21:30'}",True,u'average',False,"{u'divey': False, u'hipster': False, u'casual': True, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': False}",True,True,True,True,2,True,True,True,True,'casual',u'beer_and_wine',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",,True,,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,u'no',False,,,,,,,,True,,,,,,,,Thai,Thai
8,vLT1KtrA9bWvjFOg-0xVIg,Pieology Pizzeria,"7000 Hollister Ave, Ste F",Goleta,CA,93117,34.4304533,-119.8723449,3.5,131,0,"Restaurants, Gluten-Free, Pizza, Vegan, Fast Food","{'Monday': '0:0-0:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-20:0'}",True,u'quiet',False,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}",False,True,False,True,1,,True,True,True,'casual',u'beer_and_wine',"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",,True,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,u'no',,,,,,,,,,,,,,,,,Pizza,Other
9,kHOXo-IZSpixpctmHsGlyA,The Beach Grill at Padaro,3765 Santa Claus Ln,Carpinteria,CA,93013,34.4068624,-119.5485504,4.0,16,0,"American (Traditional), Restaurants",{'Monday': '11:0-20:0'},True,,,,False,True,,True,2,,True,True,,'casual','beer_and_wine',,,True,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,,,,,American,American
